name,status,size_bytes,sha256,zip_entries,zip_uncompressed_bytes,testzip
assets.zip,PHYSICAL_CURRENT_RUNTIME,477288100,5de4da26e944781a83df8ef40c5720a785aa1db3fb4fdd52e9853ced1973755a,16546,525428410,OK
GAMEPLAY_DATA_CORE.zip,PHYSICAL_CURRENT_RUNTIME,6011040,f3594c215d562404dd8399d0dd8fbdfdb7f9fe65701e447ce749044f07a098b2,1187,10460629,OK
GAMEPLAY_MODELS_CORE.zip,PHYSICAL_CURRENT_RUNTIME,35870211,b21d4f81fa90b2dea7874e5a16d47f9189b1f7de4096be28cdc4758b2571569a,668,41841138,OK
config.arm64_v8a.zip,PHYSICAL_CURRENT_RUNTIME,26727487,bb384c71f5b434ba2f04dbb02be9d4e96630f3caa4e22772d45aaca8b7d39acc,15,89349608,OK
config.armeabi_v7a.zip,PHYSICAL_CURRENT_RUNTIME,25097299,96bf6dd3fd057f83343342b7cf875f086a453d8794916f75441675e13c2234c0,15,73665712,OK
UnityDataAssetPack.zip,PHYSICAL_CURRENT_RUNTIME,5520504,de2ed92eac218b95580ea1dfaf6de48a8928fad80fc94e45f7244521f4b8ad0f,75,5502988,OK
